Class,Order,Family,Genus,Scientific_name,Body_mass_g_1,SVL_mm_1
Amphibia,Anura,Allophrynidae,Allophryne,Allophryne_relicta,NA,NA
Amphibia,Anura,Allophrynidae,Allophryne,Allophryne_resplendens,NA,28.4
Amphibia,Anura,Allophrynidae,Allophryne,Allophryne_ruthveni,31,31
Amphibia,Anura,Alsodidae,Alsodes,Alsodes_australis,NA,NA
Amphibia,Anura,Alsodidae,Alsodes,Alsodes_barrioi,NA,NA
Amphibia,Anura,Alsodidae,Alsodes,Alsodes_coppingeri,NA,44
Amphibia,Anura,Alsodidae,Alsodes,Alsodes_gargola,NA,40.8
Amphibia,Anura,Alsodidae,Alsodes,Alsodes_hugoi,NA,70.7
Amphibia,Anura,Alsodidae,Alsodes,Alsodes_igneus,NA,NA
Amphibia,Anura,Alsodidae,Alsodes,Alsodes_kaweshkari,NA,62.2
Amphibia,Anura,Alsodidae,Alsodes,Alsodes_montanus,NA,50.2
Amphibia,Anura,Alsodidae,Alsodes,Alsodes_monticola,NA,49.1
Amphibia,Anura,Alsodidae,Alsodes,Alsodes_neuquensis,NA,NA
Amphibia,Anura,Alsodidae,Alsodes,Alsodes_nodosus,NA,58.5
Amphibia,Anura,Alsodidae,Alsodes,Alsodes_norae,NA,61.4
Amphibia,Anura,Alsodidae,Alsodes,Alsodes_pehuenche,NA,52.2
Amphibia,Anura,Alsodidae,Alsodes,Alsodes_tumultuosus,NA,61.5
Amphibia,Anura,Alsodidae,Alsodes,Alsodes_valdiviensis,NA,63.4
Amphibia,Anura,Alsodidae,Alsodes,Alsodes_vanzolinii,NA,51.1
Amphibia,Anura,Alsodidae,Alsodes,Alsodes_verrucosus,NA,42.4
Amphibia,Anura,Alsodidae,Alsodes,Alsodes_vittatus,NA,37.4
Amphibia,Anura,Alsodidae,Eupsophus,Eupsophus_altor,NA,NA
Amphibia,Anura,Alsodidae,Eupsophus,Eupsophus_calcaratus,NA,NA
Amphibia,Anura,Alsodidae,Eupsophus,Eupsophus_contulmoensis,NA,42.5
Amphibia,Anura,Alsodidae,Eupsophus,Eupsophus_emiliopugini,NA,NA
Amphibia,Anura,Alsodidae,Eupsophus,Eupsophus_insularis,NA,NA
Amphibia,Anura,Alsodidae,Eupsophus,Eupsophus_migueli,NA,47.2
Amphibia,Anura,Alsodidae,Eupsophus,Eupsophus_nahuelbutensis,NA,NA
Amphibia,Anura,Alsodidae,Eupsophus,Eupsophus_roseus,NA,44.7
Amphibia,Anura,Alsodidae,Eupsophus,Eupsophus_septentrionalis,NA,NA
Amphibia,Anura,Alsodidae,Eupsophus,Eupsophus_vertebralis,NA,NA
Amphibia,Anura,Alsodidae,Limnomedusa,Limnomedusa_macroglossa,NA,NA
Amphibia,Anura,Alytidae,Alytes,Alytes_cisternasii,6.1,50
Amphibia,Anura,Alytidae,Alytes,Alytes_dickhilleni,NA,55
Amphibia,Anura,Alytidae,Alytes,Alytes_maurus,NA,NA
Amphibia,Anura,Alytidae,Alytes,Alytes_muletensis,2.31,40
Amphibia,Anura,Alytidae,Alytes,Alytes_obstetricans,13.4,55
Amphibia,Anura,Alytidae,Discoglossus,Discoglossus_galganoi,21.8,80
Amphibia,Anura,Alytidae,Discoglossus,Discoglossus_montalentii,NA,65
Amphibia,Anura,Alytidae,Discoglossus,Discoglossus_pictus,22.05,80
Amphibia,Anura,Alytidae,Discoglossus,Discoglossus_sardus,NA,70
Amphibia,Anura,Alytidae,Discoglossus,Discoglossus_scovazzi,NA,70
Amphibia,Anura,Alytidae,Latonia,Latonia_nigriventer,NA,NA
Amphibia,Anura,Arthroleptidae,Arthroleptis,Arthroleptis_adelphus,NA,33.1
Amphibia,Anura,Arthroleptidae,Arthroleptis,Arthroleptis_adolfifriederici,NA,42
Amphibia,Anura,Arthroleptidae,Arthroleptis,Arthroleptis_affinis,NA,45
Amphibia,Anura,Arthroleptidae,Arthroleptis,Arthroleptis_anotis,NA,NA
Amphibia,Anura,Arthroleptidae,Arthroleptis,Arthroleptis_aureoli,NA,24.1
Amphibia,Anura,Arthroleptidae,Arthroleptis,Arthroleptis_bioko,NA,32.7
Amphibia,Anura,Arthroleptidae,Arthroleptis,Arthroleptis_bivittatus,NA,28.3
Amphibia,Anura,Arthroleptidae,Arthroleptis,Arthroleptis_brevipes,NA,NA
Amphibia,Anura,Arthroleptidae,Arthroleptis,Arthroleptis_carquejai,NA,28
