"Class","Order","Family","Genus","Scientific_name","Body_mass_g_1","SVL_mm_1","Body_mass_g_RMA"
"Amphibia","Anura","Allophrynidae","Allophryne","Allophryne_relicta",NA,NA,NA
"Amphibia","Anura","Allophrynidae","Allophryne","Allophryne_resplendens",NA,28.4,9.630096464343
"Amphibia","Anura","Allophrynidae","Allophryne","Allophryne_ruthveni",31,31,31
"Amphibia","Anura","Alsodidae","Alsodes","Alsodes_australis",NA,NA,NA
"Amphibia","Anura","Alsodidae","Alsodes","Alsodes_barrioi",NA,NA,NA
"Amphibia","Anura","Alsodidae","Alsodes","Alsodes_coppingeri",NA,44,12.951402453757
"Amphibia","Anura","Alsodidae","Alsodes","Alsodes_gargola",NA,40.8,12.3061517622974
"Amphibia","Anura","Alsodidae","Alsodes","Alsodes_hugoi",NA,70.7,17.8533039679736
"Amphibia","Anura","Alsodidae","Alsodes","Alsodes_igneus",NA,NA,NA
"Amphibia","Anura","Alsodidae","Alsodes","Alsodes_kaweshkari",NA,62.2,16.3707253967627
"Amphibia","Anura","Alsodidae","Alsodes","Alsodes_montanus",NA,50.2,14.1600660648971
"Amphibia","Anura","Alsodidae","Alsodes","Alsodes_monticola",NA,49.1,13.9493121762543
"Amphibia","Anura","Alsodidae","Alsodes","Alsodes_neuquensis",NA,NA,NA
"Amphibia","Anura","Alsodidae","Alsodes","Alsodes_nodosus",NA,58.5,15.705118848475
"Amphibia","Anura","Alsodidae","Alsodes","Alsodes_norae",NA,61.4,16.2279196628945
"Amphibia","Anura","Alsodidae","Alsodes","Alsodes_pehuenche",NA,52.2,14.5394738138751
"Amphibia","Anura","Alsodidae","Alsodes","Alsodes_tumultuosus",NA,61.5,16.2458031226319
"Amphibia","Anura","Alsodidae","Alsodes","Alsodes_valdiviensis",NA,63.4,16.5838263882761
"Amphibia","Anura","Alsodidae","Alsodes","Alsodes_vanzolinii",NA,51.1,14.3313928390487
"Amphibia","Anura","Alsodidae","Alsodes","Alsodes_verrucosus",NA,42.4,12.6307449283929
"Amphibia","Anura","Alsodidae","Alsodes","Alsodes_vittatus",NA,37.4,11.6023596645662
"Amphibia","Anura","Alsodidae","Eupsophus","Eupsophus_altor",NA,NA,NA
"Amphibia","Anura","Alsodidae","Eupsophus","Eupsophus_calcaratus",NA,NA,NA
"Amphibia","Anura","Alsodidae","Eupsophus","Eupsophus_contulmoensis",NA,42.5,12.6508992891092
"Amphibia","Anura","Alsodidae","Eupsophus","Eupsophus_emiliopugini",NA,NA,NA
"Amphibia","Anura","Alsodidae","Eupsophus","Eupsophus_insularis",NA,NA,NA
"Amphibia","Anura","Alsodidae","Eupsophus","Eupsophus_migueli",NA,47.2,13.5816486750418
"Amphibia","Anura","Alsodidae","Eupsophus","Eupsophus_nahuelbutensis",NA,NA,NA
"Amphibia","Anura","Alsodidae","Eupsophus","Eupsophus_roseus",NA,44.7,13.0905012359844
"Amphibia","Anura","Alsodidae","Eupsophus","Eupsophus_septentrionalis",NA,NA,NA
"Amphibia","Anura","Alsodidae","Eupsophus","Eupsophus_vertebralis",NA,NA,NA
