"","Class","Order","Family","Genus","Scientific_name","Body_mass_g_1","Body_mass_g_2","Body_mass_g_3","Body_mass_g_4","Body_mass_g_mean","Body_mass_g_median","Body_mass_g_max","Body_mass_g_M_2","Body_mass_g_M_3","Body_mass_g_M_4","Body_mass_g_M_mean","Body_mass_g_M_median","Body_mass_g_M_max","Body_mass_g_F_2","Body_mass_g_F_3","Body_mass_g_F_4","Body_mass_g_F_mean","Body_mass_g_F_median","Body_mass_g_F_max"
"16994","Aves","Accipitriformes","Accipitridae","Accipiter","Accipiter_albogularis",248.75,NA,NA,251.5,250.125,250.125,251.5,NA,NA,223,223,223,223,NA,NA,352.5,352.5,352.5,352.5
"16995","Aves","Accipitriformes","Accipitridae","Accipiter","Accipiter_badius",NA,NA,NA,140,140,140,140,NA,NA,125,125,125,125,NA,NA,168.5,168.5,168.5,168.5
"16996","Aves","Accipitriformes","Accipitridae","Accipiter","Accipiter_bicolor",287.54,251,NA,345,294.513333333333,287.54,345,NA,NA,212,212,212,212,313,NA,390,351.5,351.5,390
"16997","Aves","Accipitriformes","Accipitridae","Accipiter","Accipiter_brachyurus",142,NA,NA,142,142,142,142,NA,NA,142,142,142,142,NA,NA,NA,NA,NA,NA
"16998","Aves","Accipitriformes","Accipitridae","Accipiter","Accipiter_brevipes",NA,NA,NA,203.5,203.5,203.5,203.5,NA,NA,170,170,170,170,NA,NA,230.5,230.5,230.5,230.5
"16999","Aves","Accipitriformes","Accipitridae","Accipiter","Accipiter_butleri",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17000","Aves","Accipitriformes","Accipitridae","Accipiter","Accipiter_castanilius",NA,NA,159.25,159.375,159.3125,159.3125,159.375,NA,142.5,142.5,142.5,142.5,142.5,NA,176,176,176,176,176
"17001","Aves","Accipitriformes","Accipitridae","Accipiter","Accipiter_chilensis",368,NA,NA,345,356.5,356.5,368,NA,NA,212,212,212,212,NA,NA,377,377,377,377
"17002","Aves","Accipitriformes","Accipitridae","Accipiter","Accipiter_chionogaster",332.94,NA,NA,138.5,235.72,235.72,332.94,NA,NA,103,103,103,103,NA,NA,174,174,174,174
"17003","Aves","Accipitriformes","Accipitridae","Accipiter","Accipiter_cirrocephalus",165.73,NA,180,180,175.243333333333,180,180,NA,129,127.25,128.125,128.125,129,NA,231,231,231,231,231
"17004","Aves","Accipitriformes","Accipitridae","Accipiter","Accipiter_collaris",332.94,NA,NA,NA,332.94,332.94,332.94,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17005","Aves","Accipitriformes","Accipitridae","Accipiter","Accipiter_cooperii",675,NA,121.5,452,416.166666666667,452,675,NA,103,338.5,220.75,220.75,338.5,NA,140,529,334.5,334.5,529
"17006","Aves","Accipitriformes","Accipitridae","Accipiter","Accipiter_erythrauchen",156,NA,NA,156,156,156,156,NA,NA,156,156,156,156,NA,NA,NA,NA,NA,NA
"17007","Aves","Accipitriformes","Accipitridae","Accipiter","Accipiter_erythronemius",125,NA,NA,138.5,131.75,131.75,138.5,NA,NA,103,103,103,103,NA,NA,174,174,174,174
"17008","Aves","Accipitriformes","Accipitridae","Accipiter","Accipiter_erythropus",111.2,NA,NA,107,109.1,109.1,111.2,NA,NA,84.7,84.7,84.7,84.7,NA,NA,146,146,146,146
