Class,Order,Family,Genus,Scientific_name,Body_mass_g_1,Body_mass_g_2,Body_mass_g_3,Body_mass_g_4,Body_mass_g_mean,Body_mass_g_median,Body_mass_g_max
Mammalia,Afrosoricida,Chrysochloridae,Amblysomus,Amblysomus_corriae,52.6,52.1,NA,NA,52.35,52.35,52.6
Mammalia,Afrosoricida,Chrysochloridae,Amblysomus,Amblysomus_hottentotus,52.6,52.6,67.6,NA,57.6,52.6,67.6
Mammalia,Afrosoricida,Chrysochloridae,Amblysomus,Amblysomus_marleyi,52.6,36,NA,NA,44.3,44.3,52.6
Mammalia,Afrosoricida,Chrysochloridae,Amblysomus,Amblysomus_robustus,52.6,50.9,NA,NA,51.75,51.75,52.6
Mammalia,Afrosoricida,Chrysochloridae,Amblysomus,Amblysomus_septentrionalis,52.6,63.9,NA,NA,58.25,58.25,63.9
Mammalia,Afrosoricida,Chrysochloridae,Calcochloris,Calcochloris_obtusirostris,24.05,24.1,24.1,NA,24.08333333,24.1,24.1
Mammalia,Afrosoricida,Chrysochloridae,Calcochloris,Calcochloris_tytonis,49.7,45.6,NA,NA,47.65,47.65,49.7
Mammalia,Afrosoricida,Chrysochloridae,Carpitalpa,Carpitalpa_arendsi,52.34,52.3,NA,NA,52.32,52.32,52.34
Mammalia,Afrosoricida,Chrysochloridae,Chlorotalpa,Chlorotalpa_duthieae,49.7,45.6,NA,NA,47.65,47.65,49.7
Mammalia,Afrosoricida,Chrysochloridae,Chlorotalpa,Chlorotalpa_sclateri,41,39.1,40.2,NA,40.1,40.2,41
Mammalia,Afrosoricida,Chrysochloridae,Chrysochloris,Chrysochloris_asiatica,49,49,40.9,NA,46.3,49,49
Mammalia,Afrosoricida,Chrysochloridae,Chrysochloris,Chrysochloris_stuhlmanni,39.8,39.8,57.4,NA,45.66666667,39.8,57.4
Mammalia,Afrosoricida,Chrysochloridae,Chrysochloris,Chrysochloris_visagiei,30,30,NA,NA,30,30,30
Mammalia,Afrosoricida,Chrysochloridae,Chrysospalax,Chrysospalax_trevelyani,426.5,426.5,445,NA,432.6666667,426.5,445
Mammalia,Afrosoricida,Chrysochloridae,Chrysospalax,Chrysospalax_villosus,119.88,119.9,116,NA,118.5933333,119.88,119.9
Mammalia,Afrosoricida,Chrysochloridae,Cryptochloris,Cryptochloris_wintoni,25,24.9,NA,NA,24.95,24.95,25
Mammalia,Afrosoricida,Chrysochloridae,Cryptochloris,Cryptochloris_zyli,25,24.9,NA,NA,24.95,24.95,25
Mammalia,Afrosoricida,Chrysochloridae,Eremitalpa,Eremitalpa_granti,26.1,26.1,22.4,NA,24.86666667,26.1,26.1
Mammalia,Afrosoricida,Chrysochloridae,Huetia,Huetia_leucorhina,NA,21.2,NA,NA,21.2,21.2,21.2
Mammalia,Afrosoricida,Chrysochloridae,Neamblysomus,Neamblysomus_gunningi,35.84,28.1,NA,NA,31.97,31.97,35.84
Mammalia,Afrosoricida,Chrysochloridae,Neamblysomus,Neamblysomus_julianae,21.99,22,NA,NA,21.995,21.995,22
Mammalia,Afrosoricida,Tenrecidae,Echinops,Echinops_telfairi,180,180,167,NA,175.6666667,180,180
Mammalia,Afrosoricida,Tenrecidae,Geogale,Geogale_aurita,7,7,6.8,NA,6.933333333,7,7
Mammalia,Afrosoricida,Tenrecidae,Hemicentetes,Hemicentetes_nigriceps,102.99,113,NA,NA,107.995,107.995,113
Mammalia,Afrosoricida,Tenrecidae,Hemicentetes,Hemicentetes_semispinosus,137.8,137.8,124,NA,133.2,137.8,137.8
Mammalia,Afrosoricida,Tenrecidae,Limnogale,Limnogale_mergulus,78.6,78.6,78.7,NA,78.63333333,78.6,78.7
Mammalia,Afrosoricida,Tenrecidae,Microgale,Microgale_brevicaudata,11.3,11.3,9.44,NA,10.68,11.3,11.3
Mammalia,Afrosoricida,Tenrecidae,Microgale,Microgale_cowani,13.8,13.8,12.2,NA,13.26666667,13.8,13.8
Mammalia,Afrosoricida,Tenrecidae,Microgale,Microgale_dobsoni,38,38,38.5,NA,38.16666667,38,38.5
Mammalia,Afrosoricida,Tenrecidae,Microgale,Microgale_drouhardi,10.5,10.5,NA,NA,10.5,10.5,10.5
Mammalia,Afrosoricida,Tenrecidae,Microgale,Microgale_dryas,40,40,40,NA,40,40,40
Mammalia,Afrosoricida,Tenrecidae,Microgale,Microgale_fotsifotsy,7.7,7.7,NA,NA,7.7,7.7,7.7
Mammalia,Afrosoricida,Tenrecidae,Microgale,Microgale_gracilis,23.3,23.3,23.3,NA,23.3,23.3,23.3
Mammalia,Afrosoricida,Tenrecidae,Microgale,Microgale_grandidieri,NA,13.1,NA,NA,13.1,13.1,13.1
Mammalia,Afrosoricida,Tenrecidae,Microgale,Microgale_gymnorhyncha,18.2,18.2,NA,NA,18.2,18.2,18.2
Mammalia,Afrosoricida,Tenrecidae,Microgale,Microgale_jenkinsae,NA,5.1,NA,NA,5.1,5.1,5.1
Mammalia,Afrosoricida,Tenrecidae,Microgale,Microgale_jobihely,NA,9,NA,NA,9,9,9
Mammalia,Afrosoricida,Tenrecidae,Microgale,Microgale_longicaudata,7.3,7.3,8.48,NA,7.693333333,7.3,8.48
Mammalia,Afrosoricida,Tenrecidae,Microgale,Microgale_majori,NA,5.8,NA,NA,5.8,5.8,5.8
