Class,Order,Taxon,Family,Genus,Scientific_name,Body_mass_g_1,Body_mass_g_2,Body_mass_g_3,Body_mass_g_mean,Body_mass_g_median,Body_mass_g_max,SVL_mm_1,SVL_mm_3,SVL_mm_4,SVL_mm_mean,SVL_mm_median,SVL_mm_max
Reptilia,Rhynchocephalia,NA,Sphenodontidae,Sphenodon,Sphenodon_punctatus,1020,NA,430,725,725,1020,285,NA,NA,285,285,285
Reptilia,Squamata,Anguimorpha,Anguidae,Abronia,Abronia_anzuetoi,44.5,NA,NA,44.5,44.5,44.5,135,NA,135,135,135,135
Reptilia,Squamata,Anguimorpha,Anguidae,Abronia,Abronia_aurita,34.1,22.5,NA,28.3,28.3,34.1,125,NA,125,125,125,125
Reptilia,Squamata,Anguimorpha,Anguidae,Abronia,Abronia_bogerti,9.6,NA,NA,9.6,9.6,9.6,87,NA,94,90.5,90.5,94
Reptilia,Squamata,Anguimorpha,Anguidae,Abronia,Abronia_campbelli,36,NA,NA,36,36,36,127,NA,127,127,127,127
Reptilia,Squamata,Anguimorpha,Anguidae,Abronia,Abronia_chiszari,5.8,14.1,NA,9.95,9.95,14.1,75,NA,105,90,90,105
Reptilia,Squamata,Anguimorpha,Anguidae,Abronia,Abronia_deppii,25.5,3.1,NA,14.3,14.3,25.5,115,NA,121,118,118,121
Reptilia,Squamata,Anguimorpha,Anguidae,Abronia,Abronia_fimbriata,39,16.5,NA,27.75,27.75,39,130,NA,130,130,130,130
Reptilia,Squamata,Anguimorpha,Anguidae,Abronia,Abronia_frosti,21.8,NA,NA,21.8,21.8,21.8,110,NA,110,110,110,110
Reptilia,Squamata,Anguimorpha,Anguidae,Abronia,Abronia_fuscolabialis,27.9,NA,NA,27.9,27.9,27.9,118,NA,118,118,118,118
Reptilia,Squamata,Anguimorpha,Anguidae,Abronia,Abronia_gaiophantasma,21.8,NA,NA,21.8,21.8,21.8,110,NA,110,110,110,110
Reptilia,Squamata,Anguimorpha,Anguidae,Abronia,Abronia_graminea,19.2,18.5,NA,18.85,18.85,19.2,106,NA,110.7,108.35,108.35,110.7
Reptilia,Squamata,Anguimorpha,Anguidae,Abronia,Abronia_leurolepis,18.6,NA,NA,18.6,18.6,18.6,105,NA,105,105,105,105
Reptilia,Squamata,Anguimorpha,Anguidae,Abronia,Abronia_lythrochila,29.5,NA,NA,29.5,29.5,29.5,120,NA,120,120,120,120
Reptilia,Squamata,Anguimorpha,Anguidae,Abronia,Abronia_martindelcampoi,25.5,NA,NA,25.5,25.5,25.5,115,NA,115,115,115,115
Reptilia,Squamata,Anguimorpha,Anguidae,Abronia,Abronia_matudai,21.8,NA,NA,21.8,21.8,21.8,110,NA,110,110,110,110
Reptilia,Squamata,Anguimorpha,Anguidae,Abronia,Abronia_meledona,29.5,20.2,NA,24.85,24.85,29.5,120,NA,120,120,120,120
Reptilia,Squamata,Anguimorpha,Anguidae,Abronia,Abronia_mitchelli,18.6,NA,NA,18.6,18.6,18.6,105,NA,105,105,105,105
Reptilia,Squamata,Anguimorpha,Anguidae,Abronia,Abronia_mixteca,61.3,NA,NA,61.3,61.3,61.3,148,NA,148,148,148,148
Reptilia,Squamata,Anguimorpha,Anguidae,Abronia,Abronia_montecristoi,12.2,NA,NA,12.2,12.2,12.2,93,NA,93,93,93,93
Reptilia,Squamata,Anguimorpha,Anguidae,Abronia,Abronia_oaxacae,27.1,NA,NA,27.1,27.1,27.1,117,NA,117,117,117,117
Reptilia,Squamata,Anguimorpha,Anguidae,Abronia,Abronia_ochoterenai,24.3,21,NA,22.65,22.65,24.3,113.5,NA,113.5,113.5,113.5,113.5
