binomial,valid,Order,sub-order,Family,max length (mm),length measure,conversion equation source*,intercept,slope,log mass,mass (g),in tree,name in tree,
Amphisbaena_talisiae,yes,Squamata,Amphisbaenia,Amphisbaenidae,105,SVL,Amphisbaenidae,-8.647,4.007,-0.55,0.3,no,NA,
Cynisca_degrysi,yes,Squamata,Amphisbaenia,Amphisbaenidae,107,SVL,Amphisbaenidae,-8.647,4.007,-0.52,0.3,no,NA,
Amphisbaena_tragorrhectes,yes,Squamata,Amphisbaenia,Amphisbaenidae,110,SVL,Amphisbaenidae,-8.647,4.007,-0.47,0.3,no,NA,
Amphisbaena_slevini,yes,Squamata,Amphisbaenia,Amphisbaenidae,120,SVL,Amphisbaenidae,-8.647,4.007,-0.34,0.5,no,NA,
Amphisbaena_heathi,yes,Squamata,Amphisbaenia,Amphisbaenidae,124,SVL,Amphisbaenidae,-8.647,4.007,-0.26,0.6,no,NA,
Cynisca_haugi,yes,Squamata,Amphisbaenia,Amphisbaenidae,124,SVL,Amphisbaenidae,-8.647,4.007,-0.26,0.6,no,NA,
Cynisca_rouxae,yes,Squamata,Amphisbaenia,Amphisbaenidae,124,SVL,Amphisbaenidae,-8.647,4.007,-0.26,0.6,no,NA,
Amphisbaena_maranhensis,yes,Squamata,Amphisbaenia,Amphisbaenidae,125,SVL,Amphisbaenidae,-8.647,4.007,-0.24,0.6,no,NA,
Amphisbaena_carvalhoi,yes,Squamata,Amphisbaenia,Amphisbaenidae,129,SVL,Amphisbaenidae,-8.647,4.007,-0.19,0.6,no,NA,
Chirindia_rondoensis,yes,Squamata,Amphisbaenia,Amphisbaenidae,129,SVL,Amphisbaenidae,-8.647,4.007,-0.19,0.6,no,NA,
Cynisca_manei,yes,Squamata,Amphisbaenia,Amphisbaenidae,129,SVL,Amphisbaenidae,-8.647,4.007,-0.19,0.6,no,NA,
Amphisbaena_hogei,yes,Squamata,Amphisbaenia,Amphisbaenidae,130,SVL,Amphisbaenidae,-8.647,4.007,-0.18,0.7,no,NA,
Amphisbaena_mensae,yes,Squamata,Amphisbaenia,Amphisbaenidae,130,SVL,Amphisbaenidae,-8.647,4.007,-0.18,0.7,no,NA,
Cynisca_bifrontalis,yes,Squamata,Amphisbaenia,Amphisbaenidae,131,SVL,Amphisbaenidae,-8.647,4.007,-0.16,0.7,no,NA,
Amphisbaena_brevis,yes,Squamata,Amphisbaenia,Amphisbaenidae,137,SVL,Amphisbaenidae,-8.647,4.007,-0.09,0.8,no,NA,
Amphisbaena_albocingulata,yes,Squamata,Amphisbaenia,Amphisbaenidae,138,SVL,Amphisbaenidae,-8.647,4.007,-0.07,0.8,no,NA,
Cynisca_senegalensis,yes,Squamata,Amphisbaenia,Amphisbaenidae,138,SVL,Amphisbaenidae,-8.647,4.007,-0.07,0.8,no,NA,
Amphisbaena_slateri,yes,Squamata,Amphisbaenia,Amphisbaenidae,139,SVL,Amphisbaenidae,-8.647,4.007,-0.06,0.9,no,NA,
Amphisbaena_miringoera,yes,Squamata,Amphisbaenia,Amphisbaenidae,142,SVL,Amphisbaenidae,-8.647,4.007,-0.02,0.9,no,NA,
Cynisca_oligopholis,yes,Squamata,Amphisbaenia,Amphisbaenidae,147,SVL,Amphisbaenidae,-8.647,4.007,0.04,1.1,no,NA,
Amphisbaena_crisae,yes,Squamata,Amphisbaenia,Amphisbaenidae,149,SVL,Amphisbaenidae,-8.647,4.007,0.06,1.2,no,NA,
Agamodon_compressus,yes,Squamata,Amphisbaenia,Trogonophiidae,103,SVL,Amphisbaenia,-5.858,2.943,0.07,1.2,no,NA,
Amphisbaena_neglecta,yes,Squamata,Amphisbaenia,Amphisbaenidae,150,SVL,Amphisbaenidae,-8.647,4.007,0.07,1.2,no,NA,
Amphisbaena_hastata,yes,Squamata,Amphisbaenia,Amphisbaenidae,152,SVL,Amphisbaenidae,-8.647,4.007,0.1,1.2,yes,Amphisbaena hastata,
Amphisbaena_pericensis,yes,Squamata,Amphisbaenia,Amphisbaenidae,153,SVL,Amphisbaenidae,-8.647,4.007,0.11,1.3,no,NA,
Amphisbaena_vanzolinii,yes,Squamata,Amphisbaenia,Amphisbaenidae,153,SVL,Amphisbaenidae,-8.647,4.007,0.11,1.3,no,NA,
Chirindia_ewerbecki,yes,Squamata,Amphisbaenia,Amphisbaenidae,153,SVL,Amphisbaenidae,-8.647,4.007,0.11,1.3,no,NA,
