species,Class,group,adult mass (g),log adult mass (g),hatchling / neonate mass (g),log hatchling / neonate mass (g),offspring/adult size ratio
Varanus_komodoensis,Reptilia,Sauria,32879.9,4.517,89.4,1.951,0.3%
Varanus_dumerilii,Reptilia,Sauria,2300.0,3.362,8.7,0.938,0.4%
Chamaeleo_calyptratus,Reptilia,Sauria,111.5,2.047,0.6,-0.251,0.5%
Uromastyx_aegyptia,Reptilia,Sauria,1217.0,3.085,6.5,0.812,0.5%
Ctenosaura_similis,Reptilia,Sauria,1217.1,3.085,6.9,0.839,0.6%
Varanus_flavescens,Reptilia,Sauria,717.3,2.856,4.8,0.684,0.7%
Varanus_salvadorii,Reptilia,Sauria,3127.8,3.495,23.2,1.365,0.7%
Calumma_parsonii,Reptilia,Sauria,101.6,2.007,0.8,-0.119,0.7%
Varanus_varius,Reptilia,Sauria,2242.3,3.351,17.3,1.238,0.8%
Gonocephalus_kuhlii,Reptilia,Sauria,102.6,2.011,0.8,-0.100,0.8%
Varanus_bengalensis,Reptilia,Sauria,1180.5,3.072,9.4,0.973,0.8%
Amphisbaena_alba,Reptilia,Sauria,191.9,2.283,1.5,0.185,0.8%
Varanus_ornatus,Reptilia,Sauria,3056.8,3.485,24.9,1.396,0.8%
Ctenosaura_pectinata,Reptilia,Sauria,989.2,2.995,8.2,0.911,0.8%
Varanus_albigularis,Reptilia,Sauria,3023.7,3.481,25.0,1.398,0.8%
Trioceros_melleri,Reptilia,Sauria,241.3,2.383,2.0,0.301,0.8%
Salvator_merianae,Reptilia,Sauria,1429.5,3.155,12.1,1.084,0.8%
Varanus_exanthematicus,Reptilia,Sauria,788.1,2.897,7.1,0.851,0.9%
Elgaria_multicarinata,Reptilia,Sauria,29.3,1.466,0.3,-0.575,0.9%
Chamaeleo_zeylanicus,Reptilia,Sauria,86.1,1.935,0.8,-0.088,0.9%
Intellagama_lesueurii,Reptilia,Sauria,333.1,2.523,3.2,0.506,1.0%
Salvator_rufescens,Reptilia,Sauria,1645.0,3.216,16.0,1.205,1.0%
Amphisbaena_bassleri,Reptilia,Sauria,28.5,1.455,0.3,-0.548,1.0%
Shinisaurus_crocodilurus,Reptilia,Sauria,62.0,1.793,0.6,-0.210,1.0%
Iguana_delicatissima,Reptilia,Sauria,1879.3,3.274,18.8,1.275,1.0%
Pogona_barbata,Reptilia,Sauria,138.7,2.142,1.4,0.146,1.0%
Mochlus_afer,Reptilia,Sauria,21.2,1.326,0.2,-0.668,1.0%
Cyclura_pinguis,Reptilia,Sauria,4048.3,3.607,41.1,1.613,1.0%
Enyalius_iheringii,Reptilia,Sauria,37.0,1.568,0.4,-0.418,1.0%
Cyclodomorphus_gerrardii,Reptilia,Sauria,186.0,2.270,1.9,0.289,1.0%
Varanus_mertensi,Reptilia,Sauria,1436.6,3.157,15.5,1.190,1.1%
Uromastyx_acanthinura,Reptilia,Sauria,359.9,2.556,3.9,0.589,1.1%
Chlamydosaurus_kingii,Reptilia,Sauria,333.6,2.523,3.6,0.562,1.1%
Chamaeleo_africanus,Reptilia,Sauria,72.0,1.857,0.8,-0.104,1.1%
Cyclura_cornuta,Reptilia,Sauria,4442.1,3.648,49.4,1.694,1.1%
Basiliscus_basiliscus,Reptilia,Sauria,130.3,2.115,1.5,0.162,1.1%
Varanus_salvator,Reptilia,Sauria,2683.9,3.429,29.9,1.476,1.1%
Pseudopus_apodus,Reptilia,Sauria,185.6,2.269,2.1,0.318,1.1%
Lygosoma_koratense,Reptilia,Sauria,19.1,1.281,0.2,-0.668,1.1%
Varanus_cumingi,Reptilia,Sauria,3056.8,3.485,34.5,1.538,1.1%
Abronia_ochoterenai,Reptilia,Sauria,21.0,1.322,0.2,-0.625,1.1%
Varanus_olivaceus,Reptilia,Sauria,3003.9,3.478,34.3,1.535,1.1%
Basiliscus_plumifrons,Reptilia,Sauria,111.8,2.048,1.3,0.109,1.1%
Celestus_stenurus,Reptilia,Sauria,40.6,1.609,0.5,-0.328,1.2%
Varanus_timorensis,Reptilia,Sauria,249.0,2.396,2.9,0.461,1.2%
Varanus_niloticus,Reptilia,Sauria,2682.1,3.428,32.4,1.510,1.2%
Varanus_nebulosus,Reptilia,Sauria,3114.2,3.493,38.0,1.580,1.2%
Calotes_mystaceus,Reptilia,Sauria,36.4,1.561,0.5,-0.345,1.2%
Abronia_meledona,Reptilia,Sauria,20.2,1.304,0.3,-0.600,1.2%
Acanthosaura_armata,Reptilia,Sauria,63.6,1.803,0.8,-0.100,1.3%
Mochlus_sundevallii,Reptilia,Sauria,17.1,1.234,0.2,-0.668,1.3%
Celestus_legnotus,Reptilia,Sauria,23.6,1.373,0.3,-0.527,1.3%
Gerrhonotus_infernalis,Reptilia,Sauria,36.6,1.564,0.5,-0.328,1.3%
Lophosaurus_boydii,Reptilia,Sauria,139.7,2.145,1.8,0.254,1.3%
Cyclura_collei,Reptilia,Sauria,2508.0,3.399,32.8,1.516,1.3%
Ophisaurus_ventralis,Reptilia,Sauria,35.7,1.553,0.5,-0.323,1.3%
Varanus_giganteus,Reptilia,Sauria,4072.0,3.610,54.8,1.739,1.3%
Furcifer_oustaleti,Reptilia,Sauria,95.9,1.982,1.3,0.118,1.4%
Barisia_imbricata,Reptilia,Sauria,21.8,1.338,0.3,-0.525,1.4%
Gallotia_stehlini,Reptilia,Sauria,142.3,2.153,2.0,0.292,1.4%
Anguis_colchica,Reptilia,Sauria,24.2,1.385,0.3,-0.471,1.4%
Pogona_nullarbor,Reptilia,Sauria,81.6,1.912,1.2,0.069,1.4%
Chamaeleo_senegalensis,Reptilia,Sauria,38.9,1.590,0.6,-0.251,1.4%
Plestiodon_chinensis,Reptilia,Sauria,24.2,1.384,0.4,-0.452,1.5%
Abronia_aurita,Reptilia,Sauria,22.5,1.353,0.3,-0.481,1.5%
Varanus_similis,Reptilia,Sauria,162.7,2.211,2.4,0.379,1.5%
Chamaeleo_monachus,Reptilia,Sauria,61.3,1.787,0.9,-0.038,1.5%
Chamaeleo_dilepis,Reptilia,Sauria,69.1,1.839,1.0,0.018,1.5%
Lophosaurus_spinipes,Reptilia,Sauria,58.1,1.764,0.9,-0.055,1.5%
Egernia_cunninghami,Reptilia,Sauria,218.3,2.339,3.3,0.520,1.5%
Corytophanes_cristatus,Reptilia,Sauria,37.6,1.576,0.6,-0.243,1.5%
Oplurus_fierinensis,Reptilia,Sauria,13.7,1.138,0.2,-0.677,1.5%
Bellatorias_major,Reptilia,Sauria,585.9,2.768,9.1,0.957,1.5%
Amphisbaena_fuliginosa,Reptilia,Sauria,18.2,1.260,0.3,-0.548,1.6%
Varanus_panoptes,Reptilia,Sauria,1307.1,3.116,20.4,1.309,1.6%
Saara_loricata,Reptilia,Sauria,373.1,2.572,5.8,0.766,1.6%
Elgaria_kingii,Reptilia,Sauria,21.1,1.325,0.3,-0.481,1.6%
Pogona_vitticeps,Reptilia,Sauria,124.2,2.094,1.9,0.288,1.6%
Oplurus_cuvieri,Reptilia,Sauria,75.6,1.878,1.2,0.075,1.6%
Varanus_melinus,Reptilia,Sauria,1370.0,3.137,21.6,1.334,1.6%
Ctenosaura_melanosterna,Reptilia,Sauria,355.6,2.551,5.6,0.751,1.6%
Monopeltis_anchietae,Reptilia,Sauria,9.5,0.978,0.2,-0.816,1.6%
Physignathus_cocincinus,Reptilia,Sauria,135.3,2.131,2.2,0.338,1.6%
Iguana_iguana,Reptilia,Sauria,1285.4,3.109,20.7,1.317,1.6%
Sphenomorphus_fasciatus,Reptilia,Sauria,19.1,1.281,0.3,-0.511,1.6%
Ophisaurus_compressus,Reptilia,Sauria,15.8,1.199,0.3,-0.591,1.6%
Ophisaurus_attenuatus,Reptilia,Sauria,42.9,1.632,0.7,-0.157,1.6%
Lepidothyris_fernandi,Reptilia,Sauria,27.0,1.432,0.4,-0.355,1.6%
Gonocephalus_chamaeleontinus,Reptilia,Sauria,58.9,1.770,1.0,-0.013,1.7%
Smaug_giganteus,Reptilia,Sauria,261.0,2.417,4.3,0.635,1.7%
Sauromalus_varius,Reptilia,Sauria,1130.3,3.053,18.8,1.275,1.7%
Varanus_beccarii,Reptilia,Sauria,421.3,2.625,7.0,0.847,1.7%
Tropidophorus_davaoensis,Reptilia,Sauria,22.9,1.361,0.4,-0.415,1.7%
Xenagama_batillifera,Reptilia,Sauria,28.1,1.449,0.5,-0.324,1.7%
Agama_impalearis,Reptilia,Sauria,36.9,1.567,0.6,-0.205,1.7%
Diploglossus_bivittatus,Reptilia,Sauria,11.3,1.052,0.2,-0.718,1.7%
Calotes_versicolor,Reptilia,Sauria,21.1,1.324,0.4,-0.446,1.7%
Laudakia_tuberculata,Reptilia,Sauria,48.6,1.687,0.8,-0.077,1.7%
Nucras_lalandii,Reptilia,Sauria,16.3,1.211,0.3,-0.553,1.7%
Tiliqua_scincoides,Reptilia,Sauria,852.8,2.931,14.9,1.172,1.7%
Varanus_griseus,Reptilia,Sauria,887.2,2.948,15.5,1.191,1.7%
Cyclura_ricordi,Reptilia,Sauria,1681.0,3.226,29.4,1.468,1.7%
Corytophanes_percarinatus,Reptilia,Sauria,32.2,1.508,0.6,-0.243,1.8%
