Class,Order,Family,Species,Average weight (gr) (Species),SD (gr) (Species),n (Species),Average weight (gr) (Female),SD (gr) (Female),n (Female),Average weight (gr) (Male),SD (gr) (Male),n (Male),Average weight (gr) (Undetermined),SD (gr) (Undeterminated),n (Undeterminated)
Aves,Tinamiformes,Tinamidae,Nothocercus_bonapartei,1014,94,2,920,0,1,,,,1108,0,1
Aves,Tinamiformes,Tinamidae,Tinamus_osgoodi,1500,0,1,,,,1500,0,1,,,
Aves,Tinamiformes,Tinamidae,Tinamus_major,1094,238,13,1013,218,4,1130,238,9,,,
Aves,Tinamiformes,Tinamidae,Tinamus_guttatus,641,63,9,750,0,1,619,50,7,690,0,1
Aves,Tinamiformes,Tinamidae,Crypturellus_cinereus,485,5,2,490,0,1,480,0,1,,,
Aves,Tinamiformes,Tinamidae,Crypturellus_soui,204,17,11,206,22,3,204,15,7,198,0,1
Aves,Tinamiformes,Tinamidae,Crypturellus_undulatus,361,221,3,510,0,1,525,0,1,48,0,1
Aves,Tinamiformes,Tinamidae,Crypturellus_duidae,451,0,1,,,,451,0,1,,,
Aves,Tinamiformes,Tinamidae,Crypturellus_erythropus,485,0,1,,,,485,0,1,,,
Aves,Tinamiformes,Tinamidae,Crypturellus_variegatus,293,106,2,399,0,1,187,0,1,,,
Aves,Tinamiformes,Tinamidae,Crypturellus_casiquiare,250,17,3,260,10,2,229,0,1,,,
Aves,Anseriformes,Anhimidae,Anhima_cornuta,3867,1922,3,3950,2350,2,3700,0,1,,,
Aves,Anseriformes,Anhimidae,Chauna_chavaria,1913,804,6,1942,878,5,1765,0,1,,,
Aves,Anseriformes,Anatidae,Dendrocygna_bicolor,620,0,1,620,0,1,,,,,,
Aves,Anseriformes,Anatidae,Dendrocygna_viduata,697,85,6,800,0,1,676,78,5,,,
Aves,Anseriformes,Anatidae,Dendrocygna_autumnalis,682,68,4,703,82,2,660,40,2,,,
Aves,Anseriformes,Anatidae,Oressochen_jubatus,1500,0,1,,,,,,,1500,0,1
Aves,Anseriformes,Anatidae,Cairina_moschata,1480,723,8,1132,442,6,2525,225,2,,,
Aves,Anseriformes,Anatidae,Amazonetta_brasiliensis,452,11,3,459,9,2,440,0,1,,,
Aves,Anseriformes,Anatidae,Merganetta_armata,265,0,1,265,0,1,,,,,,
Aves,Anseriformes,Anatidae,Spatula_discors,392,9,4,379,0,1,396,6,3,,,
Aves,Anseriformes,Anatidae,Anas_bahamensis,492,0,1,,,,,,,492,0,1
Aves,Anseriformes,Anatidae,Anas_andium,381,110,4,350,80,2,537,0,1,285,0,1
Aves,Anseriformes,Anatidae,Nomonyx_dominicus,358,26,35,350,26,13,364,22,20,345,39,2
Aves,Anseriformes,Anatidae,Oxyura_jamaicensis,740,0,1,,,,740,0,1,,,
Aves,Galliformes,Cracidae,Chamaepetes_goudotii,671,163,4,893,0,1,550,0,1,620,135,2
Aves,Galliformes,Cracidae,Penelope_argyrotis,860,0,1,860,0,1,,,,,,
Aves,Galliformes,Cracidae,Penelope_montagnii,276,234,2,510,0,1,,,,42,0,1
Aves,Galliformes,Cracidae,Penelope_jacquacu,1167,186,16,1036,157,6,1250,133,8,1225,225,2
