Class,Order,Family,Genus,Scientific_name
Amphibia,Anura,Allophrynidae,Allophryne,Allophryne_relicta
Amphibia,Anura,Allophrynidae,Allophryne,Allophryne_resplendens
Amphibia,Anura,Allophrynidae,Allophryne,Allophryne_ruthveni
Amphibia,Anura,Alsodidae,Alsodes,Alsodes_australis
Amphibia,Anura,Alsodidae,Alsodes,Alsodes_barrioi
Amphibia,Anura,Alsodidae,Alsodes,Alsodes_coppingeri
Amphibia,Anura,Alsodidae,Alsodes,Alsodes_gargola
Amphibia,Anura,Alsodidae,Alsodes,Alsodes_hugoi
Amphibia,Anura,Alsodidae,Alsodes,Alsodes_igneus
Amphibia,Anura,Alsodidae,Alsodes,Alsodes_kaweshkari
Amphibia,Anura,Alsodidae,Alsodes,Alsodes_montanus
Amphibia,Anura,Alsodidae,Alsodes,Alsodes_monticola
Amphibia,Anura,Alsodidae,Alsodes,Alsodes_neuquensis
Amphibia,Anura,Alsodidae,Alsodes,Alsodes_nodosus
Amphibia,Anura,Alsodidae,Alsodes,Alsodes_norae
Amphibia,Anura,Alsodidae,Alsodes,Alsodes_pehuenche
Amphibia,Anura,Alsodidae,Alsodes,Alsodes_tumultuosus
Amphibia,Anura,Alsodidae,Alsodes,Alsodes_valdiviensis
Amphibia,Anura,Alsodidae,Alsodes,Alsodes_vanzolinii
Amphibia,Anura,Alsodidae,Alsodes,Alsodes_verrucosus
Amphibia,Anura,Alsodidae,Alsodes,Alsodes_vittatus
Amphibia,Anura,Alsodidae,Eupsophus,Eupsophus_altor
Amphibia,Anura,Alsodidae,Eupsophus,Eupsophus_calcaratus
Amphibia,Anura,Alsodidae,Eupsophus,Eupsophus_contulmoensis
Amphibia,Anura,Alsodidae,Eupsophus,Eupsophus_emiliopugini
Amphibia,Anura,Alsodidae,Eupsophus,Eupsophus_insularis
Amphibia,Anura,Alsodidae,Eupsophus,Eupsophus_migueli
Amphibia,Anura,Alsodidae,Eupsophus,Eupsophus_nahuelbutensis
Amphibia,Anura,Alsodidae,Eupsophus,Eupsophus_roseus
Amphibia,Anura,Alsodidae,Eupsophus,Eupsophus_septentrionalis
Amphibia,Anura,Alsodidae,Eupsophus,Eupsophus_vertebralis
Amphibia,Anura,Alsodidae,Limnomedusa,Limnomedusa_macroglossa
Amphibia,Anura,Alytidae,Alytes,Alytes_cisternasii
Amphibia,Anura,Alytidae,Alytes,Alytes_dickhilleni
Amphibia,Anura,Alytidae,Alytes,Alytes_maurus
Amphibia,Anura,Alytidae,Alytes,Alytes_muletensis
Amphibia,Anura,Alytidae,Alytes,Alytes_obstetricans
Amphibia,Anura,Alytidae,Discoglossus,Discoglossus_galganoi
Amphibia,Anura,Alytidae,Discoglossus,Discoglossus_montalentii
Amphibia,Anura,Alytidae,Discoglossus,Discoglossus_pictus
Amphibia,Anura,Alytidae,Discoglossus,Discoglossus_sardus
Amphibia,Anura,Alytidae,Discoglossus,Discoglossus_scovazzi
Amphibia,Anura,Alytidae,Latonia,Latonia_nigriventer
Amphibia,Anura,Arthroleptidae,Arthroleptis,Arthroleptis_adelphus
Amphibia,Anura,Arthroleptidae,Arthroleptis,Arthroleptis_adolfifriederici
Amphibia,Anura,Arthroleptidae,Arthroleptis,Arthroleptis_affinis
Amphibia,Anura,Arthroleptidae,Arthroleptis,Arthroleptis_anotis
Amphibia,Anura,Arthroleptidae,Arthroleptis,Arthroleptis_aureoli
Amphibia,Anura,Arthroleptidae,Arthroleptis,Arthroleptis_bioko
Amphibia,Anura,Arthroleptidae,Arthroleptis,Arthroleptis_bivittatus
Amphibia,Anura,Arthroleptidae,Arthroleptis,Arthroleptis_brevipes
Amphibia,Anura,Arthroleptidae,Arthroleptis,Arthroleptis_carquejai
Amphibia,Anura,Arthroleptidae,Arthroleptis,Arthroleptis_crusculum
Amphibia,Anura,Arthroleptidae,Arthroleptis,Arthroleptis_discodactylus
Amphibia,Anura,Arthroleptidae,Arthroleptis,Arthroleptis_fichika
Amphibia,Anura,Arthroleptidae,Arthroleptis,Arthroleptis_formosus
Amphibia,Anura,Arthroleptidae,Arthroleptis,Arthroleptis_francei
Amphibia,Anura,Arthroleptidae,Arthroleptis,Arthroleptis_hematogaster
Amphibia,Anura,Arthroleptidae,Arthroleptis,Arthroleptis_kidogo
Amphibia,Anura,Arthroleptidae,Arthroleptis,Arthroleptis_krokosua
Amphibia,Anura,Arthroleptidae,Arthroleptis,Arthroleptis_kutogundua
Amphibia,Anura,Arthroleptidae,Arthroleptis,Arthroleptis_lameerei
Amphibia,Anura,Arthroleptidae,Arthroleptis,Arthroleptis_langeri
Amphibia,Anura,Arthroleptidae,Arthroleptis,Arthroleptis_lonnbergi
Amphibia,Anura,Arthroleptidae,Arthroleptis,Arthroleptis_loveridgei
Amphibia,Anura,Arthroleptidae,Arthroleptis,Arthroleptis_mossoensis
Amphibia,Anura,Arthroleptidae,Arthroleptis,Arthroleptis_nguruensis
Amphibia,Anura,Arthroleptidae,Arthroleptis,Arthroleptis_nikeae
Amphibia,Anura,Arthroleptidae,Arthroleptis,Arthroleptis_nimbaensis
Amphibia,Anura,Arthroleptidae,Arthroleptis,Arthroleptis_nlonakoensis
Amphibia,Anura,Arthroleptidae,Arthroleptis,Arthroleptis_palava
Amphibia,Anura,Arthroleptidae,Arthroleptis,Arthroleptis_perreti
Amphibia,Anura,Arthroleptidae,Arthroleptis,Arthroleptis_phrynoides
Amphibia,Anura,Arthroleptidae,Arthroleptis,Arthroleptis_poecilonotus
Amphibia,Anura,Arthroleptidae,Arthroleptis,Arthroleptis_pyrrhoscelis
Amphibia,Anura,Arthroleptidae,Arthroleptis,Arthroleptis_reichei
Amphibia,Anura,Arthroleptidae,Arthroleptis,Arthroleptis_schubotzi
Amphibia,Anura,Arthroleptidae,Arthroleptis,Arthroleptis_spinalis
Amphibia,Anura,Arthroleptidae,Arthroleptis,Arthroleptis_stenodactylus
Amphibia,Anura,Arthroleptidae,Arthroleptis,Arthroleptis_stridens
Amphibia,Anura,Arthroleptidae,Arthroleptis,Arthroleptis_sylvaticus
Amphibia,Anura,Arthroleptidae,Arthroleptis,Arthroleptis_taeniatus
Amphibia,Anura,Arthroleptidae,Arthroleptis,Arthroleptis_tanneri
Amphibia,Anura,Arthroleptidae,Arthroleptis,Arthroleptis_troglodytes
Amphibia,Anura,Arthroleptidae,Arthroleptis,Arthroleptis_tuberosus
Amphibia,Anura,Arthroleptidae,Arthroleptis,Arthroleptis_variabilis
Amphibia,Anura,Arthroleptidae,Arthroleptis,Arthroleptis_vercammeni
Amphibia,Anura,Arthroleptidae,Arthroleptis,Arthroleptis_wahlbergii
Amphibia,Anura,Arthroleptidae,Arthroleptis,Arthroleptis_xenochirus
Amphibia,Anura,Arthroleptidae,Arthroleptis,Arthroleptis_xenodactyloides
Amphibia,Anura,Arthroleptidae,Arthroleptis,Arthroleptis_xenodactylus
Amphibia,Anura,Arthroleptidae,Arthroleptis,Arthroleptis_zimmeri
Amphibia,Anura,Arthroleptidae,Astylosternus,Astylosternus_batesi
Amphibia,Anura,Arthroleptidae,Astylosternus,Astylosternus_diadematus
Amphibia,Anura,Arthroleptidae,Astylosternus,Astylosternus_fallax
Amphibia,Anura,Arthroleptidae,Astylosternus,Astylosternus_laticephalus
Amphibia,Anura,Arthroleptidae,Astylosternus,Astylosternus_laurenti
Amphibia,Anura,Arthroleptidae,Astylosternus,Astylosternus_montanus
Amphibia,Anura,Arthroleptidae,Astylosternus,Astylosternus_nganhanus
Amphibia,Anura,Arthroleptidae,Astylosternus,Astylosternus_occidentalis
Amphibia,Anura,Arthroleptidae,Astylosternus,Astylosternus_perreti
Amphibia,Anura,Arthroleptidae,Astylosternus,Astylosternus_ranoides
Amphibia,Anura,Arthroleptidae,Astylosternus,Astylosternus_rheophilus
Amphibia,Anura,Arthroleptidae,Astylosternus,Astylosternus_schioetzi
Amphibia,Anura,Arthroleptidae,Cardioglossa,Cardioglossa_alsco
Amphibia,Anura,Arthroleptidae,Cardioglossa,Cardioglossa_cyaneospila
Amphibia,Anura,Arthroleptidae,Cardioglossa,Cardioglossa_elegans
Amphibia,Anura,Arthroleptidae,Cardioglossa,Cardioglossa_escalerae
Amphibia,Anura,Arthroleptidae,Cardioglossa,Cardioglossa_gracilis
Amphibia,Anura,Arthroleptidae,Cardioglossa,Cardioglossa_gratiosa
Amphibia,Anura,Arthroleptidae,Cardioglossa,Cardioglossa_leucomystax
Amphibia,Anura,Arthroleptidae,Cardioglossa,Cardioglossa_manengouba
Amphibia,Anura,Arthroleptidae,Cardioglossa,Cardioglossa_melanogaster
Amphibia,Anura,Arthroleptidae,Cardioglossa,Cardioglossa_nigromaculata
Amphibia,Anura,Arthroleptidae,Cardioglossa,Cardioglossa_occidentalis
Amphibia,Anura,Arthroleptidae,Cardioglossa,Cardioglossa_oreas
Amphibia,Anura,Arthroleptidae,Cardioglossa,Cardioglossa_pulchra
Amphibia,Anura,Arthroleptidae,Cardioglossa,Cardioglossa_schioetzi
Amphibia,Anura,Arthroleptidae,Cardioglossa,Cardioglossa_trifasciata
Amphibia,Anura,Arthroleptidae,Cardioglossa,Cardioglossa_venusta
Amphibia,Anura,Arthroleptidae,Leptodactylodon,Leptodactylodon_albiventris
Amphibia,Anura,Arthroleptidae,Leptodactylodon,Leptodactylodon_axillaris
Amphibia,Anura,Arthroleptidae,Leptodactylodon,Leptodactylodon_bicolor
Amphibia,Anura,Arthroleptidae,Leptodactylodon,Leptodactylodon_blanci
Amphibia,Anura,Arthroleptidae,Leptodactylodon,Leptodactylodon_boulengeri
Amphibia,Anura,Arthroleptidae,Leptodactylodon,Leptodactylodon_bueanus
Amphibia,Anura,Arthroleptidae,Leptodactylodon,Leptodactylodon_erythrogaster
Amphibia,Anura,Arthroleptidae,Leptodactylodon,Leptodactylodon_mertensi
Amphibia,Anura,Arthroleptidae,Leptodactylodon,Leptodactylodon_ornatus
Amphibia,Anura,Arthroleptidae,Leptodactylodon,Leptodactylodon_ovatus
Amphibia,Anura,Arthroleptidae,Leptodactylodon,Leptodactylodon_perreti
Amphibia,Anura,Arthroleptidae,Leptodactylodon,Leptodactylodon_polyacanthus
Amphibia,Anura,Arthroleptidae,Leptodactylodon,Leptodactylodon_stevarti
Amphibia,Anura,Arthroleptidae,Leptodactylodon,Leptodactylodon_ventrimarmoratus
Amphibia,Anura,Arthroleptidae,Leptodactylodon,Leptodactylodon_wildi
Amphibia,Anura,Arthroleptidae,Leptopelis,Leptopelis_anchietae
